Espécie	Nome Popular	Guilda	Habitat	Descrição	Na Tabela
Sicalis flaveola	canário-da-terra	Granívoro	Generalista	Sementes e frutos	✓
Sicalis luteola	tipio	Granívoro	Campestre	Sementes de gramíneas	✓
Sirystes sibilator	gritador	Insetívoro	Florestal	Insetos no dossel	✓
Sittasomus griseicapillus	arapaçu-verde	Insetívoro	Florestal	Insetos em troncos e galhos	✓
Spartonoica maluroides	boininha	Insetívoro	Aquático	Insetos em campos úmidos	✓
Spatula cyanoptera	marreca-colorada	Filtrador	Aquático	Invertebrados e plantas por filtração	✓
Spatula discors	marreca-de-asa-azul	Filtrador	Aquático	Invertebrados e plantas por filtração	✓
Spatula platalea	marreca-colhereira	Filtrador	Aquático	Invertebrados aquáticos por filtração	✓
Spatula versicolor	marreca-cricri	Filtrador	Aquático	Invertebrados e plantas aquáticas por filtração	✓
Spheniscus magellanicus	pinguim-de-magalhães	Piscívoro	Costeiro	Peixes, lulas e crustáceos	✓
Spinus magellanicus	pintassilgo	Granívoro	Florestal	Sementes, especialmente de gramíneas e compostas	✓
Spizaetus melanoleucus	gavião-pato	Carnívoro	Florestal	Aves aquáticas e terrestres	✓
Spizaetus ornatus	gavião-de-penacho	Carnívoro	Florestal	Aves, lagartos, cobras, mamíferos	✓
Spizaetus tyrannus	gavião-pega-macaco	Carnívoro	Florestal	Aves, macacos, lagartos, cobras	✓
Sporophila angolensis	curió	Granívoro	Generalista	Sementes de bambu e outras gramíneas	✓
Sporophila beltoni	patativa-tropeira	Granívoro	Campestre	Sementes de gramíneas	✓
Sporophila caerulescens	coleirinho	Granívoro	Generalista	Sementes de gramíneas	✓
Sporophila cinnamomea	caboclinho-de-chapéu-cinzento	Granívoro	Aquático	Sementes em campos úmidos	✓
Sporophila collaris	coleiro-do-brejo	Granívoro	Aquático	Sementes em banhados	✓
Sporophila falcirostris	cigarrinha-do-sul	Granívoro	Florestal	Sementes de bambu	✓
Sporophila frontalis	pixoxó	Granívoro	Florestal	Sementes de bambu	✓
Sporophila hypoxantha	caboclinho-de-barriga-vermelha	Granívoro	Campestre	Sementes de gramíneas	✓
Sporophila leucoptera	chorão	Granívoro	Campestre	Sementes de gramíneas	✓
Sporophila lineola	bigodinho	Granívoro	Campestre	Sementes de gramíneas	✓
Sporophila melanogaster	caboclinho-de-barriga-preta	Granívoro	Campestre	Sementes de gramíneas	✓
Sporophila palustris	caboclinho-de-papo-branco	Granívoro	Aquático	Sementes em campos úmidos	✓
Sporophila pileata	caboclinho-coroado	Granívoro	Campestre	Sementes de gramíneas	✓
Sporophila ruficollis	caboclinho-de-papo-escuro	Granívoro	Campestre	Sementes de gramíneas	✓
Stelgidopteryx ruficollis	andorinha-serradora	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Stephanophorus diadematus	sanhaço-frade	Frugívoro/Onívoro	Florestal	Frutos, insetos, néctar	✓
Stephanoxis loddigesii	beija-flor-de-topete-azul	Nectarívoro	Florestal	Néctar e artrópodes	✓
Stercorarius antarcticus	mandrião-antártico	Cleptoparasita/Onívoro	Costeiro	Rouba alimento, ovos, carcaças	✓
Stercorarius chilensis	mandrião-chileno	Cleptoparasita/Onívoro	Costeiro	Rouba alimento de outras aves, carniça	✓
Stercorarius longicaudus	mandrião-de-cauda-comprida	Cleptoparasita/Insetívoro	Costeiro	Cleptoparasita, insetos, lemmings	✓
Stercorarius maccormicki	mandrião-do-sul	Cleptoparasita/Onívoro	Costeiro	Rouba alimento de outras aves	✓
Stercorarius parasiticus	mandrião-parasítico	Cleptoparasita/Onívoro	Costeiro	Cleptoparasita, rouba alimento	✓
Stercorarius pomarinus	mandrião-pomarino	Cleptoparasita/Piscívoro	Costeiro	Rouba alimento de outras aves	✓
Sterna hirundinacea	trinta-réis-de-bico-vermelho	Piscívoro	Costeiro	Peixes pequenos	✓
Sterna hirundo	trinta-réis-boreal	Piscívoro	Costeiro	Peixes e invertebrados marinhos	✓
Sterna trudeaui	trinta-réis-de-coroa-branca	Piscívoro	Costeiro	Peixes e invertebrados	✓
Sternula antillarum	trinta-réis-miúdo	Piscívoro	Costeiro	Peixes e crustáceos pequenos	✓
Sternula superciliaris	trinta-réis-pequeno	Piscívoro	Aquático	Peixes pequenos	✓
Stilpnia peruviana	saíra-sapucaia	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Stilpnia preciosa	saíra-preciosa	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Streptoprocne biscutata	taperuçu-de-coleira-falha	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Streptoprocne zonaris	taperuçu-de-coleira-branca	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Strix huhula	coruja-preta	Carnívoro	Florestal	Roedores, anfíbios, invertebrados	✓
Strix hylophila	coruja-listrada	Carnívoro	Florestal	Roedores, aves pequenas, anfíbios	✓
Strix virgata	coruja-do-mato	Carnívoro	Florestal	Roedores, anfíbios, aves	✓
Sturnus vulgaris	estorninho	Onívoro	Generalista	Insetos, frutos, grãos, invertebrados	✓
Sula leucogaster	atobá-pardo	Piscívoro	Costeiro	Peixes capturados por mergulho	✓
Synallaxis albescens	uí-pi	Insetívoro	Campestre	Insetos em arbustais	✓
Synallaxis cinerascens	pi-puí	Insetívoro	Florestal	Insetos no sub-bosque	✓
Synallaxis frontalis	petrim	Insetívoro	Campestre	Insetos em arbustais e borda	✓
Synallaxis ruficapilla	pichororé	Insetívoro	Florestal	Insetos no sub-bosque denso	✓
Synallaxis spixi	joão-teneném	Insetívoro	Florestal	Insetos no sub-bosque	✓
Syndactyla rufosuperciliata	trepador-quiete	Insetívoro	Florestal	Insetos em folhas mortas	✓
Syrigma sibilatrix	maria-faceira	Carnívoro/Insetívoro	Campestre	Insetos, anfíbios, pequenos vertebrados	✓
Tachuris rubrigastra	papa-piri	Insetívoro	Aquático	Insetos em juncais	✓
Tachybaptus dominicus	mergulhão-pequeno	Piscívoro/Insetívoro	Aquático	Insetos aquáticos, pequenos peixes	✓
Tachycineta albiventer	andorinha-do-rio	Insetívoro aéreo	Aquático	Insetos capturados em voo sobre rios	✓
Tachycineta leucopyga	andorinha-chilena	Insetívoro aéreo	Campestre	Insetos capturados em voo	✓
Tachycineta leucorrhoa	andorinha-de-sobre-branco	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Tachyphonus coronatus	tiê-preto	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Tangara cyanocephala	saíra-militar	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Tangara desmaresti	saíra-lagarta	Frugívoro/Insetívoro	Florestal	Frutos, insetos e néctar	✓
Tangara seledon	saíra-sete-cores	Frugívoro/Insetívoro	Florestal	Frutos, insetos e néctar	✓
Tapera naevia	saci	Insetívoro	Generalista	Insetos e lagartas	✓
Terenura maculata	zidedê	Insetívoro	Florestal	Insetos em bambu e sub-bosque	✓
Tersina viridis	saí-andorinha	Frugívoro/Insetívoro	Florestal	Frutos e insetos capturados em voo	✓
Thalassarche chlororhynchos	albatroz-de-nariz-amarelo	Piscívoro	Costeiro	Lulas, peixes, crustáceos	✓
Thalassarche chrysostoma	albatroz-de-cabeça-cinza	Piscívoro	Costeiro	Lulas e peixes	✓
Thalassarche melanophris	albatroz-de-sobrancelha	Piscívoro	Costeiro	Lulas, peixes, crustáceos	✓
Thalasseus acuflavidus	trinta-réis-de-bando	Piscívoro	Costeiro	Peixes e invertebrados marinhos	✓
Thalasseus maximus	trinta-réis-real	Piscívoro	Costeiro	Peixes, especialmente anchovas	✓
Thalurania glaucopis	beija-flor-de-fronte-violeta	Nectarívoro	Florestal	Néctar floral e pequenos insetos	✓
Thamnophilus caerulescens	choca-da-mata	Insetívoro	Florestal	Insetos e aranhas no sub-bosque	✓
Thamnophilus doliatus	choca-barrada	Insetívoro	Florestal	Insetos e aranhas	✓
Thamnophilus ruficapillus	choca-de-chapéu-vermelho	Insetívoro	Florestal	Insetos no sub-bosque	✓
Theristicus caerulescens	curicaca-real	Carnívoro/Insetívoro	Aquático	Cobras, anfíbios, insetos grandes	✓
Theristicus caudatus	curicaca	Carnívoro/Insetívoro	Campestre	Cobras, anfíbios, insetos	✓
Thinocorus rumicivorus	agachadeira-mirim	Granívoro/Insetívoro	Campestre	Sementes e invertebrados	✓
Thlypopsis pyrrhocoma	cabecinha-castanha	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Thlypopsis sordida	saí-canário	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Thraupis cyanoptera	sanhaço-de-encontro-azul	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Thraupis ornata	sanhaço-de-encontro-amarelo	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Thraupis palmarum	sanhaço-do-coqueiro	Frugívoro/Insetívoro	Generalista	Frutos de palmeiras e insetos	✓
Thraupis sayaca	sanhaço-cinzento	Frugívoro/Insetívoro	Generalista	Frutos, insetos, néctar	✓
Tigrisoma fasciatum	socó-jararaca	Piscívoro/Carnívoro	Aquático	Peixes e anfíbios	✓
Tigrisoma lineatum	socó-boi	Piscívoro/Carnívoro	Aquático	Peixes, anfíbios, cobras, invertebrados	✓
Tinamus solitarius	macuco	Onívoro	Florestal	Frutos, sementes, invertebrados do solo	✓
Tityra cayana	anambé-branco-de-rabo-preto	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Tityra inquisitor	anambé-branco-de-bochecha-parda	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Tityra semifasciata	anambé-branco-de-máscara-negra	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Todirostrum cinereum	ferreirinho-relógio	Insetívoro	Generalista	Insetos em arbustos	✓
Todirostrum poliocephalum	teque-teque	Insetívoro	Florestal	Insetos no sub-bosque	✓
Tolmomyias sulphurescens	bico-chato-de-orelha-preta	Insetívoro	Florestal	Insetos no dossel	✓
Touit melanonotus	apuim-de-costas-pretas	Frugívoro/Granívoro	Florestal	Frutos e sementes	✓
Trichothraupis melanops	tiê-de-topete	Insetívoro	Florestal	Insetos, segue formigas	✓
Triclaria malachitacea	sabiá-cica	Frugívoro	Florestal	Frutos de bromélias e outras plantas	✓
Tringa flavipes	maçarico-de-perna-amarela	Insetívoro	Aquático	Insetos, crustáceos, invertebrados	✓
Tringa inornata	maçarico-grande-de-asa-branca	Insetívoro	Aquático	Invertebrados aquáticos	✓
Tringa melanoleuca	maçarico-grande-de-perna-amarela	Insetívoro	Aquático	Insetos, crustáceos, pequenos peixes	✓
Tringa semipalmata	maçarico-de-asa-branca	Insetívoro	Aquático	Invertebrados aquáticos	✓
Tringa solitaria	maçarico-solitário	Insetívoro	Aquático	Invertebrados aquáticos	✓
Troglodytes musculus	corruíra	Insetívoro	Generalista	Insetos e aranhas no sub-bosque	✓
Trogon chrysochloros	surucuá-dourado	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Trogon surrucura	surucuá-variado	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Trogon viridis	surucuá-de-barriga-amarela	Insetívoro/Frugívoro	Florestal	Insetos grandes e frutos	✓
Turdus albicollis	sabiá-coleira	Onívoro	Florestal	Frutos, insetos, minhocas, lagartos	✓
Turdus amaurochalinus	sabiá-poca	Onívoro	Generalista	Frutos, insetos, minhocas	✓
Turdus flavipes	sabiá-una	Frugívoro/Insetívoro	Florestal	Frutos e invertebrados	✓
Turdus leucomelas	sabiá-barranco	Onívoro	Generalista	Frutos, insetos, minhocas	✓
Turdus rufiventris	sabiá-laranjeira	Onívoro	Generalista	Frutos, insetos, minhocas	✓
Turdus subalaris	sabiá-ferreiro	Onívoro	Florestal	Frutos, insetos, minhocas	✓
Tyranniscus burmeisteri	piolhinho-chiador	Insetívoro	Florestal	Insetos no dossel	✓
Tyrannus albogularis	suiriri-de-garganta-branca	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Tyrannus melancholicus	suiriri	Insetívoro/Frugívoro	Generalista	Insetos e frutos	✓
Tyrannus savana	tesourinha	Insetívoro aéreo	Campestre	Insetos capturados em voo	✓
Tyrannus tyrannus	suiriri-valente	Insetívoro aéreo	Generalista	Insetos e frutos	✓
Tyto furcata	suindara	Carnívoro	Generalista	Roedores, morcegos, insetos	✓
Urubitinga coronata	águia-cinzenta	Carnívoro	Campestre	Cobras, tatus, roedores grandes	✓
Urubitinga urubitinga	gavião-preto	Carnívoro	Florestal	Cobras, lagartos, anfíbios	✓
Vanellus chilensis	quero-quero	Insetívoro	Campestre	Insetos, minhocas, invertebrados	✓
Veniliornis spilogaster	pica-pau-verde-carijó	Insetívoro	Florestal	Insetos e larvas em madeira	✓
Vireo chivi	juruviara	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Volatinia jacarina	tiziu	Granívoro	Campestre	Sementes de gramíneas	✓
Xanthopsar flavus	veste-amarela	Insetívoro/Granívoro	Campestre	Insetos e sementes	✓
Xenops minutus	bico-virado-miúdo	Insetívoro	Florestal	Insetos em galhos finos	✓
Xenops rutilans	bico-virado-carijó	Insetívoro	Florestal	Insetos em galhos	✓
Xiphocolaptes albicollis	arapaçu-de-garganta-branca	Insetívoro	Florestal	Insetos e pequenos vertebrados	✓
Xiphorhynchus fuscus	arapaçu-rajado	Insetívoro	Florestal	Insetos em cascas e galhos	✓
Xolmis irupero	noivinha	Insetívoro	Campestre	Insetos no campo	✓
Xolmis velatus	noivinha-branca	Insetívoro	Campestre	Insetos em campos	✓
Zenaida auriculata	avoante	Granívoro	Campestre	Sementes e grãos	✓
Zonotrichia capensis	tico-tico	Granívoro/Insetívoro	Generalista	Sementes, insetos e frutos	✓


Espécie	Nome Popular	Descritor	Ano	Ordem	Família	Na Tabela
Aburria jacutinga	jacutinga	Spix	1825	Galliformes	Cracidae	✓
Accipiter bicolor	gavião-bombachinha-grande	Vieillot	1817	Accipitriformes	Accipitridae	✓
Accipiter poliogaster	tauató-pintado	Temminck	1824	Accipitriformes	Accipitridae	✓
Accipiter striatus	tauató-miúdo	Vieillot	1808	Accipitriformes	Accipitridae	✓
Actitis macularius	maçarico-pintado	Linnaeus	1766	Charadriiformes	Scolopacidae	✓
Aegolius harrisii	caburé-acanelado	Cassin	1849	Strigiformes	Strigidae	✓
Agelaioides badius	asa-de-telha	Vieillot	1819	Passeriformes	Icteridae	✓
Agelasticus thilius	sargento	Molina	1782	Passeriformes	Icteridae	✓
Alopochelidon fucata	andorinha-morena	Temminck	1822	Passeriformes	Hirundinidae	✓
Amadonastur lacernulatus	gavião-pombo-pequeno	Temminck	1827	Accipitriformes	Accipitridae	✓
Amaurolimnas concolor	saracura-lisa	Gosse	1847	Gruiformes	Rallidae	✓
Amaurospiza moesta	negrinho-do-mato	Hartlaub	1853	Passeriformes	Cardinalidae	✓
Amazona aestiva	papagaio-verdadeiro	Linnaeus	1758	Psittaciformes	Psittacidae	✓
Amazona pretrei	papagaio-charão	Temminck	1830	Psittaciformes	Psittacidae	✓
Amazona vinacea	papagaio-de-peito-roxo	Kuhl	1820	Psittaciformes	Psittacidae	✓
Amazonetta brasiliensis	marreca-ananaí	Gmelin	1789	Anseriformes	Anatidae	✓
Amblyramphus holosericeus	cardeal-do-banhado	Scopoli	1786	Passeriformes	Icteridae	✓
Ammodramus humeralis	tico-tico-do-campo	Bosc	1792	Passeriformes	Passerellidae	✓
Anabacerthia amaurotis	limpa-folha-miúdo	Temminck	1823	Passeriformes	Furnariidae	✓
Anabacerthia lichtensteini	limpa-folha-ocráceo	Cabanis & Heine	1859	Passeriformes	Furnariidae	✓
Anabazenops fuscus	trepador-coleira	Vieillot	1816	Passeriformes	Furnariidae	✓
Anas acuta	arrabio	Linnaeus	1758	Anseriformes	Anatidae	✓
Anas bahamensis	marreca-toicinho	Linnaeus	1758	Anseriformes	Anatidae	✓
Anas flavirostris	marreca-pardinha	Vieillot	1816	Anseriformes	Anatidae	✓
Anas georgica	marreca-parda	Gmelin	1789	Anseriformes	Anatidae	✓
Anhima cornuta	anhuma	Linnaeus	1766	Anseriformes	Anhimidae	✓
Anhinga anhinga	biguatinga	Linnaeus	1766	Suliformes	Anhingidae	✓
Anous stolidus	trinta-réis-escuro	Linnaeus	1758	Charadriiformes	Laridae	✓
Anthracothorax nigricollis	beija-flor-de-veste-preta	Vieillot	1817	Apodiformes	Trochilidae	✓
Anthus chii	caminheiro-zumbidor	Vieillot	1818	Passeriformes	Motacillidae	✓
Anthus correndera	caminheiro-de-espora	Vieillot	1818	Passeriformes	Motacillidae	✓
Anthus hellmayri	caminheiro-de-barriga-acanelada	Hartert	1909	Passeriformes	Motacillidae	✓
Anthus nattereri	caminheiro-dourado	Sclater	1878	Passeriformes	Motacillidae	✓
Antrostomus rufus	joão-corta-pau	Boddaert	1783	Caprimulgiformes	Caprimulgidae	✓
Antrostomus sericocaudatus	bacurau-rabo-de-seda	Cassin	1849	Caprimulgiformes	Caprimulgidae	✓
Anumbius annumbi	cochicho	Vieillot	1817	Passeriformes	Furnariidae	✓
Aphantochroa cirrochloris	beija-flor-cinza	Vieillot	1818	Apodiformes	Trochilidae	✓
Aramides cajaneus	saracura-três-potes	Statius Muller	1776	Gruiformes	Rallidae	✓
Aramides saracura	saracura-do-mato	Spix	1825	Gruiformes	Rallidae	✓
Aramides ypecaha	saracuruçu	Vieillot	1819	Gruiformes	Rallidae	✓
Aramus guarauna	carão	Linnaeus	1766	Gruiformes	Aramidae	✓
Ardea alba	garça-branca-grande	Linnaeus	1758	Pelecaniformes	Ardeidae	✓
Ardea cocoi	garça-moura	Linnaeus	1766	Pelecaniformes	Ardeidae	✓
Ardenna gravis	pardela-de-barrete	O'Reilly	1818	Procellariiformes	Procellariidae	✓
Ardenna grisea	pardela-escura	Gmelin	1789	Procellariiformes	Procellariidae	✓
Arenaria interpres	vira-pedras	Linnaeus	1758	Charadriiformes	Scolopacidae	✓
Arremon semitorquatus	tico-tico-do-mato	Swainson	1838	Passeriformes	Passerellidae	✓
Arundinicola leucocephala	freirinha	Linnaeus	1764	Passeriformes	Tyrannidae	✓
Asemospiza fuliginosa	cigarra-preta	Lichtenstein	1823	Passeriformes	Thraupidae	✓
Asio clamator	coruja-orelhuda	Vieillot	1808	Strigiformes	Strigidae	✓
Asio flammeus	mocho-dos-banhados	Pontoppidan	1763	Strigiformes	Strigidae	✓
Asio stygius	mocho-diabo	Wagler	1832	Strigiformes	Strigidae	✓
Athene cunicularia	coruja-buraqueira	Molina	1782	Strigiformes	Strigidae	✓
Attila phoenicurus	capitão-castanho	Pelzeln	1868	Passeriformes	Tyrannidae	✓
Attila rufus	capitão-de-saíra	Vieillot	1819	Passeriformes	Tyrannidae	✓
Automolus leucophthalmus	barranqueiro-de-olho-branco	Wied	1821	Passeriformes	Furnariidae	✓
Bartramia longicauda	maçarico-do-campo	Bechstein	1812	Charadriiformes	Scolopacidae	✓
Baryphthengus ruficapillus	juruva	Vieillot	1818	Coraciiformes	Momotidae	✓
Basileuterus culicivorus	pula-pula	Deppe	1830	Passeriformes	Parulidae	✓
Batara cinerea	matracão	Vieillot	1819	Passeriformes	Thamnophilidae	✓
Biatas nigropectus	papo-branco	Lafresnaye & d'Orbigny	1837	Passeriformes	Thamnophilidae	✓
Botaurus pinnatus	socó-boi-baio	Wagler	1829	Pelecaniformes	Ardeidae	✓
Brotogeris chiriri	periquito-de-encontro-amarelo	Vieillot	1818	Psittaciformes	Psittacidae	✓
Brotogeris tirica	periquito-rico	Gmelin	1788	Psittaciformes	Psittacidae	✓
Bubo virginianus	jacurutu	Gmelin	1788	Strigiformes	Strigidae	✓
Bubulcus ibis	garça-vaqueira	Linnaeus	1758	Pelecaniformes	Ardeidae	✓
Buteo albonotatus	gavião-urubu	Kaup	1847	Accipitriformes	Accipitridae	✓
Buteo brachyurus	gavião-de-cauda-curta	Vieillot	1816	Accipitriformes	Accipitridae	✓
Buteo platypterus	gavião-de-asa-larga	Vieillot	1823	Accipitriformes	Accipitridae	✓
Buteo swainsoni	gavião-papa-gafanhoto	Bonaparte	1838	Accipitriformes	Accipitridae	✓
Butorides striata	socozinho	Linnaeus	1758	Pelecaniformes	Ardeidae	✓
Cacicus chrysopterus	tecelão	Vigors	1825	Passeriformes	Icteridae	✓
Cacicus haemorrhous	guaxe	Linnaeus	1766	Passeriformes	Icteridae	✓
Cairina moschata	pato-do-mato	Linnaeus	1758	Anseriformes	Anatidae	✓
Calidris alba	maçarico-branco	Pallas	1764	Charadriiformes	Scolopacidae	✓
Calidris bairdii	maçarico-de-bico-fino	Coues	1861	Charadriiformes	Scolopacidae	✓
Calidris canutus	maçarico-de-papo-vermelho	Linnaeus	1766	Charadriiformes	Scolopacidae	✓
Calidris fuscicollis	maçarico-de-sobre-branco	Vieillot	1819	Charadriiformes	Scolopacidae	✓
Calidris himantopus	maçarico-pernilongo	Bonaparte	1826	Charadriiformes	Scolopacidae	✓
Calidris melanotos	maçarico-de-colete	Vieillot	1819	Charadriiformes	Scolopacidae	✓
Calidris minutilla	maçariquinho	Vieillot	1819	Charadriiformes	Scolopacidae	✓
Calidris pusilla	maçarico-rasteirinho	Linnaeus	1766	Charadriiformes	Scolopacidae	✓
Calidris subruficollis	maçarico-acanelado	Vieillot	1819	Charadriiformes	Scolopacidae	✓
Calliphlox amethystina	estrelinha-ametista	Boddaert	1783	Apodiformes	Trochilidae	✓
Callonetta leucophrys	marreca-de-coleira	Vieillot	1816	Anseriformes	Anatidae	✓
Calonectris borealis	cagarra-grande	Cory	1881	Procellariiformes	Procellariidae	✓
Campephilus robustus	pica-pau-rei	Lichtenstein	1818	Piciformes	Picidae	✓
Camptostoma obsoletum	risadinha	Temminck	1824	Passeriformes	Tyrannidae	✓
Campylorhamphus falcularius	arapaçu-de-bico-torto	Vieillot	1822	Passeriformes	Dendrocolaptidae	✓
Campylorhynchus turdinus	catatau	Wied	1821	Passeriformes	Troglodytidae	✓
Cantorchilus longirostris	garrinchão-de-bico-grande	Vieillot	1819	Passeriformes	Troglodytidae	✓
Capsiempis flaveola	marianinha-amarela	Lichtenstein	1823	Passeriformes	Tyrannidae	✓
Caracara plancus	carcará	Miller	1777	Falconiformes	Falconidae	✓
Cariama cristata	seriema	Linnaeus	1766	Cariamiformes	Cariamidae	✓
Carpornis cucullata	corocoxó	Swainson	1821	Passeriformes	Cotingidae	✓
Castanozoster thoracicus	peito-pinhão	Nordmann	1835	Passeriformes	Thraupidae	✓
Cathartes aura	urubu-de-cabeça-vermelha	Linnaeus	1758	Cathartiformes	Cathartidae	✓
Cathartes burrovianus	urubu-de-cabeça-amarela	Cassin	1845	Cathartiformes	Cathartidae	✓
Catharus fuscescens	sabiazinho-norte-americano	Stephens	1817	Passeriformes	Turdidae	✓
Catharus swainsoni	sabiazinho-de-óculos	Tschudi	1845	Passeriformes	Turdidae	✓
Celeus flavescens	pica-pau-de-cabeça-amarela	Gmelin	1788	Piciformes	Picidae	✓
Celeus galeatus	pica-pau-de-cara-canela	Lichtenstein	1818	Piciformes	Picidae	✓
Certhiaxis cinnamomeus	curutié	Gmelin	1788	Passeriformes	Furnariidae	✓
Chaetura cinereiventris	andorinhão-de-sobre-cinzento	Sclater	1865	Apodiformes	Apodidae	✓
Chaetura meridionalis	andorinhão-do-temporal	Hellmayr	1907	Apodiformes	Apodidae	✓
Chamaeza campanisona	tovaca-campainha	Lichtenstein	1823	Passeriformes	Formicariidae	✓
Chamaeza ruficauda	tovaca-de-rabo-vermelho	Cabanis & Heine	1859	Passeriformes	Formicariidae	✓
Charadrius collaris	batuíra-de-coleira	Vieillot	1818	Charadriiformes	Charadriidae	✓
Charadrius falklandicus	batuíra-de-coleira-dupla	Latham	1790	Charadriiformes	Charadriidae	✓
Charadrius modestus	batuíra-de-peito-tijolo	Lichtenstein	1823	Charadriiformes	Charadriidae	✓
Charadrius semipalmatus	batuíra-de-bando	Bonaparte	1825	Charadriiformes	Charadriidae	✓
Chauna torquata	tachã	Oken	1816	Anseriformes	Anhimidae	✓
Chionis albus	pomba-antártica	Gmelin	1789	Charadriiformes	Chionidae	✓
Chionomesa fimbriata	beija-flor-de-garganta-verde	Gmelin	1788	Apodiformes	Trochilidae	✓
Chionomesa lactea	beija-flor-de-peito-azul	Lesson	1832	Apodiformes	Trochilidae	✓
Chiroxiphia caudata	tangará	Shaw & Nodder	1793	Passeriformes	Pipridae	✓
Chloroceryle aenea	martim-pescador-miúdo	Pallas	1764	Coraciiformes	Alcedinidae	✓
Chloroceryle amazona	martim-pescador-verde	Latham	1790	Coraciiformes	Alcedinidae	✓
Chloroceryle americana	martim-pescador-pequeno	Gmelin	1788	Coraciiformes	Alcedinidae	✓
Chloroceryle inda	martim-pescador-da-mata	Linnaeus	1766	Coraciiformes	Alcedinidae	✓
Chlorophanes spiza	saí-verde	Linnaeus	1758	Passeriformes	Thraupidae	✓
Chlorophonia cyanea	gaturamo-bandeira	Thunberg	1822	Passeriformes	Fringillidae	✓
Chlorostilbon lucidus	besourinho-de-bico-vermelho	Shaw	1812	Apodiformes	Trochilidae	✓
Chondrohierax uncinatus	gavião-caracoleiro	Temminck	1822	Accipitriformes	Accipitridae	✓
Chordeiles minor	bacurau-norte-americano	Forster	1771	Caprimulgiformes	Caprimulgidae	✓
Chroicocephalus cirrocephalus	gaivota-de-cabeça-cinza	Vieillot	1818	Charadriiformes	Laridae	✓
Chroicocephalus maculipennis	gaivota-maria-velha	Lichtenstein	1823	Charadriiformes	Laridae	✓
Chrysomus ruficapillus	garibaldi	Vieillot	1819	Passeriformes	Icteridae	✓
Chrysuronia versicolor	beija-flor-de-banda-branca	Vieillot	1818	Apodiformes	Trochilidae	✓
Cichlocolaptes leucophrus	trepador-sobrancelha	Jardine & Selby	1830	Passeriformes	Furnariidae	✓
Ciconia maguari	maguari	Gmelin	1789	Ciconiiformes	Ciconiidae	✓
Cinclodes fuscus	pedreiro-dos-andes	Vieillot	1818	Passeriformes	Furnariidae	✓
Cinclodes pabsti	pedreiro	Sick	1969	Passeriformes	Furnariidae	✓
Circus buffoni	gavião-do-banhado	Gmelin	1788	Accipitriformes	Accipitridae	✓
Circus cinereus	gavião-cinza	Vieillot	1816	Accipitriformes	Accipitridae	✓
Cissopis leverianus	tietinga	Gmelin	1788	Passeriformes	Thraupidae	✓
Cistothorus platensis	corruíra-do-campo	Latham	1790	Passeriformes	Troglodytidae	✓
Claravis pretiosa	pararu-azul	Ferrari-Perez	1886	Columbiformes	Columbidae	✓
Clibanornis dendrocolaptoides	cisqueiro	Pelzeln	1859	Passeriformes	Furnariidae	✓
Cnemotriccus fuscatus	guaracavuçu	Wied	1831	Passeriformes	Tyrannidae	✓
Coccyzus americanus	papa-lagarta-de-asa-vermelha	Linnaeus	1758	Cuculiformes	Cuculidae	✓
Coccyzus erythropthalmus	papa-lagarta-de-bico-preto	Wilson	1811	Cuculiformes	Cuculidae	✓
Coccyzus euleri	papa-lagarta-de-euler	Cabanis	1873	Cuculiformes	Cuculidae	✓
Coccyzus melacoryphus	papa-lagarta-acanelado	Vieillot	1817	Cuculiformes	Cuculidae	✓
Cochlearius cochlearius	arapapá	Linnaeus	1766	Pelecaniformes	Ardeidae	✓
Coereba flaveola	cambacica	Linnaeus	1758	Passeriformes	Thraupidae	✓
Colaptes campestris	pica-pau-do-campo	Vieillot	1818	Piciformes	Picidae	✓
Colaptes melanochloros	pica-pau-verde-barrado	Gmelin	1788	Piciformes	Picidae	✓
Colibri serrirostris	beija-flor-de-orelha-violeta	Vieillot	1816	Apodiformes	Trochilidae	✓
Colonia colonus	viuvinha	Vieillot	1818	Passeriformes	Tyrannidae	✓
Columba livia	pombo-doméstico	Gmelin	1789	Columbiformes	Columbidae	✓
Columbina picui	rolinha-picuí	Temminck	1813	Columbiformes	Columbidae	✓
